date,Case,Vaccine,PredCase,PredVaccine,beta,nu
2022-02-19,3.1620581650275527e6,1.5787864184327193e7,3.158601e6,1.5772852e7,0.07202298,0.005474095
2022-02-20,3.1712346255011195e6,1.5926537500105556e7,3.1676498e6,1.5914119e7,0.07358421,0.0055281566
2022-02-21,3.1799750421200604e6,1.6052003833428837e7,3.1766098e6,1.605043e7,0.076483645,0.005491947
2022-02-22,3.1885129428705308e6,1.61655209921499e7,3.1856645e6,1.6187224e7,0.08082702,0.0052846717
2022-02-23,3.196922376882861e6,1.626822699289753e7,3.1949192e6,1.6307076e7,0.08585558,0.0048034834
2022-02-24,3.2051243409892553e6,1.6361151469764432e7,3.2043795e6,1.6408877e7,0.090636216,0.003922467
2022-02-25,3.2131354513712307e6,1.6445225996453535e7,3.2139882e6,1.6509126e7,0.09492906,0.0024984526
2022-02-26,3.220870836954923e6,1.6521293425362723e7,3.2237068e6,1.6545662e7,0.09881426,0.00038093794
2022-02-27,3.228175328673501e6,1.6614150337232938e7,3.233525e6,1.6535669e7,0.102328904,0.002565856
2022-02-28,3.2354182497522156e6,1.6698163733686944e7,3.2434055e6,1.6645379e7,0.10566329,0.0064360453
2022-03-01,3.242466987871052e6,1.6774175854288189e7,3.2533015e6,1.6861286e7,0.10876738,0.011244114
