date,Case,Vaccine,PredCase,PredVaccine,beta,nu
2021-05-17,1.2721222928674428e6,1.4037008351476202e7,1.2674736e6,1.3959569e7,0.1276116,0.010614536
2021-05-18,1.2782789378232514e6,1.4332647757681755e7,1.2746554e6,1.4252354e7,0.12776573,0.010842822
2021-05-19,1.2842853301533265e6,1.46001309761176e7,1.2817916e6,1.4548071e7,0.12794161,0.011078975
2021-05-20,1.2901592082996187e6,1.4842139558243971e7,1.2888809e6,1.4846808e7,0.12813844,0.011322997
2021-05-21,1.2958882403406939e6,1.506109966789579e7,1.2959202e6,1.5148589e7,0.12835455,0.011575363
2021-05-22,1.3014329830862442e6,1.545852025261469e7,1.3029066e6,1.5453451e7,0.1285881,0.011836073
2021-05-23,1.306738130783483e6,1.5818091209333004e7,1.3098371e6,1.5761429e7,0.12883718,0.012106559
2021-05-24,1.311783263963571e6,1.6143417273325816e7,1.3167095e6,1.6072605e7,0.12909874,0.012386701
2021-05-25,1.3165819078819235e6,1.643775987015061e7,1.3235188e6,1.6386906e7,0.12936924,0.012677542
2021-05-26,1.3212238235096736e6,1.6704069812100407e7,1.3302625e6,1.6704453e7,0.12964511,0.012979469
2021-05-27,1.3257137469115756e6,1.694501688065645e7,1.3369378e6,1.702531e7,0.12992173,0.013293347
2021-05-28,1.3300446297563754e6,1.7163016591521453e7,1.3435408e6,1.7349506e7,0.13019483,0.013620428
2021-05-29,1.3342157140294302e6,1.758393315191904e7,1.350067e6,1.7677082e7,0.13045946,0.013961217
2021-05-30,1.3381781234141341e6,1.796476239535495e7,1.3565134e6,1.8008136e7,0.1307108,0.014316789
