date,Case,Vaccine,PredCase,PredVaccine,beta,nu
2021-05-17,1.2721222928674428e6,1.4037008351476202e7,1.2650429e6,1.423015e7,0.13460529,0.009391218
2021-05-18,1.2782789378232514e6,1.4332647757681755e7,1.2724948e6,1.4484047e7,0.13460633,0.009392649
2021-05-19,1.2842853301533265e6,1.46001309761176e7,1.2799226e6,1.4735513e7,0.13460726,0.009393722
2021-05-20,1.2901592082996187e6,1.4842139558243971e7,1.2873228e6,1.4984552e7,0.13460788,0.009394556
2021-05-21,1.2958882403406939e6,1.506109966789579e7,1.2946916e6,1.5231172e7,0.13460839,0.009395331
2021-05-22,1.3014329830862442e6,1.545852025261469e7,1.302026e6,1.5475391e7,0.13460886,0.009395987
2021-05-23,1.306738130783483e6,1.5818091209333004e7,1.3093228e6,1.5717229e7,0.13460928,0.009396404
2021-05-24,1.311783263963571e6,1.6143417273325816e7,1.3165786e6,1.5956708e7,0.13460967,0.009396702
2021-05-25,1.3165819078819235e6,1.643775987015061e7,1.323791e6,1.6193865e7,0.13461003,0.0093969405
2021-05-26,1.3212238235096736e6,1.6704069812100407e7,1.3309574e6,1.6428733e7,0.13461012,0.009397298
2021-05-27,1.3257137469115756e6,1.694501688065645e7,1.3380745e6,1.6661331e7,0.1346102,0.0093975365
2021-05-28,1.3300446297563754e6,1.7163016591521453e7,1.3451394e6,1.6891662e7,0.1346105,0.009397656
2021-05-29,1.3342157140294302e6,1.758393315191904e7,1.3521492e6,1.7119746e7,0.13461053,0.009397775
2021-05-30,1.3381781234141341e6,1.796476239535495e7,1.3591018e6,1.7345608e7,0.13461056,0.009397835
