date,MScoreVac,CScoreVac,PredMScoreVac,PredCScoreVac
2022-01-01,98.49682380753114,18.93096228770567,98.49682380753114,18.93096228770567
2022-01-02,100.200066285013,19.034214250702227,100.5873623428777,19.157317728521132
2022-01-03,101.97431816698816,19.15427797177473,102.67320370719608,19.383138644547522
2022-01-04,103.82248673997412,19.292703806756982,104.75315125758853,19.60828885743399
2022-01-05,105.74371448307068,19.44993833528123,106.8257343363018,19.832601012066185
2022-01-06,107.7335481642757,19.62605938965304,108.8893520030499,20.055892925881977
2022-01-07,109.78457069044872,19.820005981632814,110.94180230947998,20.277914021843426
2022-01-08,111.8861452889945,20.02978038813133,112.98024056185305,20.49834058175575
2022-01-09,114.02450374245848,20.253242456332643,115.00118008419261,20.71677582883716
2022-01-10,116.1837683647692,20.48779901961798,117.00048995737656,20.93274968330505
2022-01-11,118.3469610263785,20.73069900708228,118.97334248873088,21.14571273754796
2022-01-12,120.49548949097448,20.978797862735757,120.91355388006158,21.354961329484762
2022-01-13,122.60912399679968,21.229005640902685,122.81389452260913,21.55967272192022
2022-01-14,124.66785448806591,21.478560216814856,124.66562703675902,21.75885263399353
2022-01-15,126.65227278365182,21.725581487835413,126.45838208889644,21.951321055685792
2022-01-16,128.54205585692353,21.968523725889582,128.18015393973295,22.135711769333145
2022-01-17,130.3168920753984,22.2050441302988,129.81730439513987,22.31047277256289
2022-01-18,131.95733142608333,22.43245735088088,131.35455589581863,22.47386554025425
2022-01-19,133.4442130506652,22.647909535953488,132.77500325725316,22.62396627776239
2022-01-20,134.75847178243953,22.847984304750824,134.05950037169907,22.75859619496012
2022-01-21,135.88264471801494,23.02861398264093,135.18505739536124,22.875139150284493
2022-01-22,136.80012982305135,23.185451652165757,136.13388328159675,22.971570542636176
2022-01-23,137.4956492459143,23.315474923895398,136.89136295708553,23.046227211176184
2022-01-24,137.96047062061965,23.416612733819875,137.44537196359565,23.097729425600896
2022-01-25,138.19115389421694,23.487816505291136,137.78627745238987,23.12498097170908
2022-01-26,138.18524856291177,23.528921848495106,137.90693596687348,23.12716897617588
2022-01-27,137.94090969587614,23.53985338531067,137.80269639441354,23.103764145339827
2022-01-28,137.4603712621318,23.52093961878854,137.47139872158453,23.054520672653428
2022-01-29,136.7509130512587,23.473004215031068,136.9133719597527,22.97947596849679
2022-01-30,135.82437081613858,23.39695689464473,136.1314386600902,22.878951266801916
2022-01-31,134.69370311768324,23.29457846232566,135.13091164903213,22.753551163946284
2022-02-01,133.3722725142243,23.168649518306523,133.91959200832068,22.604163360373224
2022-02-02,131.8727034780453,23.02209644006168,132.50777351220557,22.43195929446375
2022-02-03,130.20742602733992,22.857687228234976,130.90824508377418,22.23839431116246
2022-02-04,128.3915011672092,22.67877304994518,129.1362790050726,22.02520635832578
2022-02-05,126.44218487669218,22.489052144437203,127.2096446264961,21.794417536738823
2022-02-06,124.3783864474492,22.291931142646533,125.14582890246666,21.548017798735344
2022-02-07,122.21859808827594,22.090106900507337,122.95381421502039,21.28702935902176
2022-02-08,119.9790707290972,21.88518445948897,120.64425708905001,21.01266483969859
2022-02-09,117.67138707030313,21.676898016029256,118.22761196866728,20.726114014632696
2022-02-10,115.30269854798098,21.462973983144764,115.71377488318572,20.42850298913439
2022-02-11,112.87505551352,21.23978182340028,113.11211401607977,20.12089783447329
2022-02-12,110.38603268709085,21.002239476747604,110.43146463885562,19.804303983663214
2022-02-13,107.83042101849536,20.744708723755732,107.68012852492109,19.479666161610744
2022-02-14,105.20242281709376,20.461892627463527,104.86601005664608,19.14788383970936
2022-02-15,102.49763276633873,20.148900625440547,101.99630179138674,18.809775559568365
2022-02-16,99.71187964382445,19.802413462136144,99.07558229750609,18.46586232862421
2022-02-17,96.83960554753752,19.419840499123097,96.10801357874263,18.116617729072598
2022-02-18,93.87326632849,19.000115791790336,93.097660111482,17.76250437541093
2022-02-19,90.80536571449876,18.54354560368631,90.04842147755537,17.403965986300364
2022-02-20,87.63500370315705,18.05140367228762,86.96407768073732,17.04143271833008
2022-02-21,84.37173108671959,17.52560190633534,83.84827631022922,16.675319655059866
2022-02-22,81.03502630158687,16.968814875319254,80.70453462021686,16.306027051684055
2022-02-23,77.64778780913048,16.384579288532677,77.53623975151788,15.933940361007704
2022-02-24,74.23490250941063,15.777036929450617,74.34664510167828,15.559429806607273
2022-02-25,70.8222472232253,15.151454392195037,71.13886286735972,15.182849508209998
2022-02-26,67.4369646521277,14.513836581146506,67.91474895367435,14.804410771504465
2022-02-27,64.10757043036551,13.870698264110333,64.67469338420321,14.424157935617652
2022-02-28,60.86417626135767,13.228787236162248,61.420309785837944,14.042274483567235
2022-03-01,57.73812970773929,12.594851543785524,58.15305094656266,13.658925244924687
