date,dailycase,acccase,dailyvaccine,accvaccine,Mnuminter,Cnuminter,Mnumvac,Cnumvac,MscoreIntervention,CscoreIntervention,MscoreVaccine,CscoreVaccine,dailyvaccine3,accvaccine3
2021-02-12,3830.872539922754,781771.7912173016,9923.411360723409,818934.7582194393,27.87931738111143,19.195186988185515,37.04767137354697,7.000424522894867,74.275778049096,52.6982327630116,116.53627211503648,25.410941322730917,0.0,0.0
2021-02-13,3765.9958472479507,785279.1909914598,15872.621118710736,833800.0470554228,28.18020581865189,18.790697518341656,35.2111423898941,6.614713564367131,73.67614460869054,52.53168301760035,116.72216615009916,25.505807413762184,0.0,0.0
2021-02-14,3654.668910091066,788696.0358505787,14344.025407917727,847216.2385933497,27.873939516604285,18.233030619923575,33.361033977616245,6.362906385858195,73.05777890095183,52.358542342526405,116.89044655582684,25.61277953590228,0.0,0.0
2021-02-15,3533.6794121198113,792011.1323192066,12964.11021794517,859327.4897005259,27.116455586194494,18.595418312353324,31.0174686343344,5.943188724806731,72.42821281667058,52.18259547972208,117.0399969720719,25.73288423688269,0.0,0.0
2021-02-16,3445.38622763539,795255.7530062338,11718.145020457834,870263.0874004625,27.778024843997322,19.018737414091696,30.727463316600666,6.333084026272797,71.79529160784669,52.00758391572165,117.17232246657576,25.86869712620939,0.0,0.0
2021-02-17,3422.0150167256265,798493.4583540006,10592.907814535962,880139.0786607139,27.127163660438544,19.305013746773213,31.617860495609865,6.973275958468187,71.16621547724993,51.83565512352345,117.28855647427902,26.02179950016161,0.0,0.0
2021-02-18,3398.6018548031025,801722.8885876241,9576.521736252227,889059.7044393005,25.48381784739661,18.987898746853446,33.86136921756237,6.9758401216086545,70.54993754181639,51.66817067545541,117.3894374871127,26.192589032969693,0.0,0.0
2021-02-19,3389.2436475315126,804956.884666083,8658.31095501732,897118.6644548603,24.574495649360696,18.413770338050238,34.73759437960574,7.361682402085527,69.95329493536019,51.50603608342193,117.47717819409549,26.381472368322235,0.0,0.0
2021-02-20,3357.5997662687814,808172.0333886672,18706.32898568881,915277.8907606546,24.99854660460569,18.469942748796335,32.94216177664892,7.135386459467148,69.38191436812549,51.35228453542408,117.55276742107418,26.58783625463675,0.0,0.0
2021-02-21,3297.594005897163,811338.9488565639,16914.934294892806,931687.5579469302,26.435147232515767,19.191051876702517,30.840890482781077,6.643600815917675,68.84083640227729,51.21225273452198,117.62058515299827,26.80959110260977,0.0,0.0
2021-02-22,3248.244569710817,814467.3576960803,15295.942489257766,946517.9673727688,25.9149289048265,18.789910581851526,29.898981943616082,6.964854370955729,68.3333102993493,51.091019005557385,117.69448412824164,27.044579509054834,0.0,0.0
2021-02-23,3214.354613194585,817571.8537155997,13832.606505705797,959922.5267337876,25.349058033341265,17.948995257041638,30.386987392113106,7.350889674239578,67.86203793984517,50.99192538830835,117.79488029920827,27.2931756825098,0.0,0.0
2021-02-24,3195.1952802368482,820666.3610360862,12509.83429951365,972039.4833030981,25.12442439860623,17.858245581678208,31.114997798463442,8.464860447529901,67.43200495272774,50.91685151407929,117.94648078975044,27.55644514722113,0.0,0.0
2021-02-25,3208.46361306706,823782.5580980884,11314.020169994295,982993.4690343715,25.30371053073474,18.445335429363293,33.58934323215479,8.229244620822728,67.04766244745105,50.86729298635998,118.1708396095914,27.83532952326711,0.0,0.0
2021-02-26,3193.608084491407,826891.6202952691,10232.894197009475,992896.8797647204,24.892463850502956,18.78500604465496,34.201921911658054,8.685120381488638,66.71324509458512,50.84417926234137,118.48429662505852,28.129745759934277,0.0,0.0
2021-02-27,3179.316636287908,829993.4783447451,37431.13652368266,1030026.8566602787,24.616158613118984,18.61449172040007,34.087107228992295,8.428621817372532,66.43366780943873,50.84873129373163,118.90191990043974,28.440210253194323,0.0,0.0
2021-02-28,3125.2342906778745,833047.7587221989,33856.52201947271,1063600.2958928596,24.175322745852473,18.84230399884306,33.12380439731196,7.910196995460625,66.21273717622236,50.88098486542352,119.4355772914264,28.767639146055032,0.0,0.0
2021-03-01,3056.566426387193,836039.350552015,30624.119046588254,1093959.621257186,24.254057626134724,18.95283336726678,34.92598215047231,8.205191514146156,66.05159624415784,50.93988162240623,120.09622269138472,29.113377893378637,0.0,0.0
2021-03-02,3032.5541362063377,839012.427713931,27701.013433329932,1121413.9687292175,24.229807548216865,19.530042027589705,36.173911434761436,8.567410129132746,65.94971057019374,51.02647099661039,120.89064605974784,29.47809314053544,0.0,0.0
2021-03-03,3032.501254563802,841990.4948056069,25057.48450757533,1146242.4803474257,24.017015306273656,19.47945971098344,37.49334565474837,8.131538682724962,65.90775382606434,51.14279796905021,121.82137291410318,29.860581402432054,0.0,0.0
2021-03-04,3052.299204263771,844992.9798647919,22666.690207369462,1168697.2617122494,24.778690896599638,20.006187613500853,37.2554496050466,8.118988263594886,65.92497008736142,51.29041385712075,122.88691380303108,30.25915558629624,0.0,0.0
2021-03-05,3073.830102387455,848021.2246759714,20504.384150520957,1189006.0393206729,25.27678162778589,19.43322280318113,38.08964260413198,8.012241531814569,65.9966177365924,51.46953430205175,124.0817520244028,30.67312430446414,0.0,0.0
2021-03-06,3078.2338203967697,851057.7438017324,63701.798034239175,1252527.686505122,24.48733624890894,19.678043856552023,37.60418883542574,7.9156932071716115,66.11694729109855,51.68045060855206,125.40169830738036,31.101840747592934,0.0,0.0
2021-03-07,3049.506019411949,854069.0803200381,57626.74120996735,1309982.398957181,24.154759044948737,19.899482119681295,35.543859631735664,7.637631952037333,66.28526865826315,51.92278156311086,126.84142728239765,31.54480506076748,0.0,0.0
2021-03-08,3014.2718416125213,857048.4338284995,52131.7540132095,1361951.116032566,23.949292396731543,19.146228470468206,36.06412888239634,8.148959560525485,66.50298529005937,52.19536142310277,128.39428088730955,32.001552976915086,0.0,0.0
2021-03-09,3005.9510225738777,860022.4480542602,47161.32044270097,1408958.8790570474,23.19137756078547,18.84625545198618,36.058014598387764,8.230100892719154,66.77073504489185,52.49606387887118,130.05035118561398,32.471713140186445,0.0,0.0
2021-03-10,3030.7424328117286,863023.9843462594,42665.26106947811,1451480.258844613,22.029129412511843,19.051579714999345,39.19849329676169,8.97083349694573,67.08910961873497,52.821473680170776,131.79397888912106,32.95417787552536,0.0,0.0
2021-03-11,3079.4778117286196,866076.7533865066,38598.215810383925,1489944.2473553338,21.168432043026524,18.951338390154685,41.562684859811974,9.068938293263495,67.45949592091549,53.16890162816878,133.60314735915233,33.44711994361728,0.0,0.0
2021-03-12,3146.0583457841412,869198.3849489521,34919.177598862996,1524738.667993269,21.4383265574103,18.00281386837343,42.557530875883714,9.348316181412104,67.8837756795433,53.53649677701293,135.45302506330052,33.94813130661926,0.0,0.0
2021-03-13,3166.5441823248893,872342.5864018695,93088.32876879588,1617711.4101806183,21.587167818503374,17.71661920641176,42.21846678764129,9.124500925063098,68.36254488094286,53.92353288186328,137.3252812919117,34.45360945969205,0.0,0.0
2021-03-14,3137.7110911114537,875459.861698871,84216.8169992695,1701817.080751099,20.768792825887893,17.553021817835784,42.19764644739623,9.01733364293992,68.8968787927868,54.33013313369096,139.20323463501,34.95836057514023,0.0,0.0
2021-03-15,3103.0508838706714,878544.2247785693,76191.29234058034,1777902.43696035,20.79082594163862,17.119137111994814,43.703547318748875,10.254529641276259,69.48585002413111,54.75566386666748,141.07025223128932,35.4583377713453,0.0,0.0
2021-03-16,3141.638675490982,881668.7778720924,68930.98828010289,1846733.1793879892,20.52488682584582,17.29836542068321,44.779991604587515,9.849113511938237,70.12681216880704,55.19827951901742,142.9126207115272,35.95096254870399,0.0,0.0
2021-03-17,3230.098029433547,884883.2546881337,62362.86601035493,1909001.7467119494,20.284301773995953,16.793508131078717,45.18209712798145,9.863490803301236,70.81338132712726,55.65638174487091,144.71806727103427,36.43499359924718,0.0,0.0
2021-03-18,3330.6101068209828,888199.5796774928,56420.87197732715,1965334.3544632294,21.305303838077965,16.52733998153716,46.59396120800785,10.638745248605785,71.53618413444609,56.12744709507959,146.47696386390015,36.90995461424637,0.0,0.0
2021-03-19,3396.5788557277992,891583.0922943113,51045.267316943085,2016297.3522508703,21.180938560667702,16.28654291288169,47.77596987979757,10.86371823468529,72.28359113567018,56.60972214529966,148.18646409429874,37.37480152360992,0.0,0.0
2021-03-20,3453.2112513957636,895024.3509446635,132189.31827136804,2148410.2625515563,22.306978188137183,16.25924305692176,46.939855277563225,10.209789937272435,73.04814298478684,57.10181172525705,149.8430681463143,37.82803215990145,0.0,0.0
2021-03-21,3465.576204973484,898478.9925221709,119595.66280066044,2267932.1611040826,23.135161002978577,17.282513274247908,44.46856936280407,9.713454072901921,73.82603408647715,57.60187342960392,151.44055000670426,38.2685156166164,0.0,0.0
2021-03-22,3477.9059980500415,901946.8959295852,108202.16460441446,2376063.7944283015,23.31281827959961,17.636666404157154,45.47186524460187,10.312353297202336,74.61272689266082,58.10823640974771,152.97730861650754,38.69705801543255,0.0,0.0
2021-03-23,3581.467009551277,905519.213632522,97894.3847868857,2473891.26132368,23.66407425918242,17.38548680118257,44.85532894707062,11.235238061361414,75.40164746579921,58.62069929060258,154.45973479513634,39.11491682334221,0.0,0.0
2021-03-24,3716.40821706692,909227.2512921689,88568.80848106403,2562396.984523811,23.98185990249867,17.15824149758944,44.583325726129026,11.02230569401183,76.18769383224921,59.1389409496428,155.89431332742924,39.523165984268594,0.0,0.0
2021-03-25,3867.2601668055518,913086.8510990876,80131.7999101749,2642469.627835526,25.69825651030221,17.905242443298512,43.47990545767588,11.115440234046828,76.96704037151093,59.66147299279281,157.2847139949311,39.922093207678685,0.0,0.0
