date,dailycase,acccase,Mnuminter,Cnuminter,Mnumvac,Cnumvac
2021-03-25,5300.0,949745.0,42.0,25.0,33.0,12.0
2021-03-26,5266.0,955011.0,21.0,25.0,51.0,16.0
2021-03-27,4873.0,959884.0,26.0,24.0,28.0,8.0
2021-03-28,4839.0,964723.0,31.0,23.0,42.0,7.0
2021-03-29,4749.0,969472.0,27.0,23.0,73.0,10.0
2021-03-30,5651.0,975123.0,28.0,27.0,46.0,10.0
2021-03-31,6167.0,981290.0,30.0,22.0,70.0,15.0
2021-04-01,6553.0,987843.0,23.0,25.0,51.0,17.0
2021-04-02,6931.0,994774.0,27.0,15.0,38.0,10.0
2021-04-03,6705.0,1001479.0,46.0,24.0,36.0,20.0
2021-04-04,6243.0,1007722.0,36.0,29.0,34.0,14.0
2021-04-05,6187.0,1013909.0,35.0,18.0,70.0,22.0
2021-04-06,7311.0,1021220.0,29.0,38.0,53.0,11.0
2021-04-07,8762.0,1029982.0,40.0,34.0,90.0,10.0
2021-04-08,8601.0,1038583.0,37.0,27.0,95.0,20.0
2021-04-09,9352.0,1047935.0,26.0,29.0,94.0,30.0
2021-04-10,9237.0,1057172.0,43.0,34.0,60.0,11.0
2021-04-11,8226.0,1065398.0,41.0,26.0,49.0,16.0
2021-04-12,7875.0,1073273.0,38.0,27.0,69.0,15.0
2021-04-13,8533.0,1081806.0,34.0,28.0,58.0,14.0
2021-04-14,9778.0,1091584.0,33.0,23.0,75.0,20.0
2021-04-15,9379.0,1100963.0,40.0,30.0,63.0,14.0
2021-04-16,8530.0,1109493.0,50.0,37.0,84.0,17.0
2021-04-17,9133.0,1118626.0,45.0,37.0,39.0,6.0
2021-04-18,8363.0,1126989.0,55.0,25.0,32.0,4.0
2021-04-19,7213.0,1134202.0,25.0,24.0,59.0,17.0
2021-04-20,8259.0,1142461.0,23.0,20.0,52.0,10.0
2021-04-21,8511.0,1150972.0,28.0,30.0,62.0,23.0
2021-04-22,8911.0,1159883.0,27.0,25.0,62.0,22.0
2021-04-23,8023.0,1167906.0,24.0,31.0,100.0,11.0
2021-04-24,8002.0,1175908.0,31.0,27.0,54.0,12.0
2021-04-25,7330.0,1183238.0,39.0,15.0,38.0,8.0
2021-04-26,6901.0,1190139.0,33.0,24.0,64.0,21.0
2021-04-27,7735.0,1197874.0,20.0,33.0,92.0,13.0
2021-04-28,8569.0,1206443.0,29.0,28.0,64.0,17.0
2021-04-29,8225.0,1214668.0,31.0,23.0,64.0,16.0
2021-04-30,8446.0,1223114.0,27.0,18.0,68.0,18.0
2021-05-01,7924.0,1231038.0,29.0,23.0,45.0,11.0
2021-05-02,7146.0,1238184.0,43.0,33.0,67.0,9.0
2021-05-03,6427.0,1244611.0,28.0,16.0,83.0,13.0
2021-05-04,7339.0,1251950.0,21.0,23.0,64.0,14.0
2021-05-05,7729.0,1259679.0,15.0,21.0,59.0,23.0
2021-05-06,7649.0,1267328.0,24.0,19.0,56.0,17.0
2021-05-07,7678.0,1275006.0,17.0,23.0,62.0,11.0
2021-05-08,6884.0,1281890.0,25.0,11.0,60.0,13.0
2021-05-09,5994.0,1287884.0,37.0,14.0,54.0,8.0
2021-05-10,5602.0,1293486.0,24.0,28.0,50.0,14.0
2021-05-11,6384.0,1299870.0,27.0,15.0,68.0,13.0
2021-05-12,6313.0,1306183.0,17.0,10.0,74.0,14.0
2021-05-13,5910.0,1312093.0,26.0,20.0,62.0,9.0
2021-05-14,6115.0,1318208.0,25.0,21.0,55.0,24.0
2021-05-15,5467.0,1323675.0,51.0,26.0,37.0,18.0
2021-05-16,4320.0,1327995.0,42.0,20.0,45.0,13.0
2021-05-17,4176.0,1332171.0,34.0,23.0,53.0,17.0
2021-05-18,4596.0,1336767.0,28.0,21.0,67.0,8.0
2021-05-19,4579.0,1341346.0,26.0,22.0,44.0,10.0
2021-05-20,4615.0,1345961.0,23.0,14.0,41.0,16.0
2021-05-21,4353.0,1350314.0,15.0,11.0,29.0,5.0
2021-05-22,3794.0,1354108.0,14.0,17.0,19.0,10.0
2021-05-23,3029.0,1357137.0,12.0,7.0,29.0,6.0
2021-05-24,2575.0,1359712.0,14.0,12.0,12.0,3.0
2021-05-25,2457.0,1362169.0,19.0,18.0,36.0,22.0
2021-05-26,3153.0,1365322.0,24.0,13.0,47.0,7.0
2021-05-27,3046.0,1368368.0,30.0,19.0,41.0,11.0
2021-05-28,2820.0,1371188.0,23.0,15.0,40.0,10.0
2021-05-29,2653.0,1373841.0,13.0,18.0,31.0,5.0
2021-05-30,1980.0,1375821.0,15.0,13.0,14.0,6.0
2021-05-31,1724.0,1377545.0,27.0,22.0,58.0,8.0
2021-06-01,2034.0,1379579.0,16.0,19.0,61.0,11.0
2021-06-02,2121.0,1381700.0,13.0,7.0,39.0,13.0
2021-06-03,2100.0,1383800.0,12.0,8.0,45.0,4.0
2021-06-04,1940.0,1385740.0,17.0,7.0,31.0,7.0
2021-06-05,1610.0,1387350.0,30.0,21.0,16.0,3.0
2021-06-06,1298.0,1388648.0,15.0,7.0,15.0,5.0
2021-06-07,1139.0,1389787.0,19.0,15.0,39.0,7.0
2021-06-08,1501.0,1391288.0,40.0,22.0,50.0,17.0
2021-06-09,1469.0,1392757.0,35.0,20.0,37.0,8.0
2021-06-10,1456.0,1394213.0,19.0,22.0,50.0,38.0
2021-06-11,1358.0,1395571.0,25.0,14.0,38.0,8.0
2021-06-12,1287.0,1396858.0,18.0,13.0,19.0,4.0
2021-06-13,984.0,1397842.0,29.0,12.0,18.0,1.0
2021-06-14,911.0,1398753.0,25.0,12.0,44.0,9.0
2021-06-15,946.0,1399699.0,12.0,21.0,48.0,5.0
2021-06-16,1043.0,1400742.0,17.0,13.0,43.0,21.0
2021-06-17,1056.0,1401798.0,24.0,16.0,55.0,13.0
2021-06-18,1037.0,1402835.0,19.0,29.0,37.0,10.0
2021-06-19,829.0,1403664.0,25.0,25.0,30.0,10.0
2021-06-20,614.0,1404278.0,25.0,14.0,39.0,5.0
2021-06-21,559.0,1404837.0,35.0,37.0,39.0,11.0
2021-06-22,671.0,1405508.0,57.0,49.0,60.0,14.0
2021-06-23,721.0,1406229.0,33.0,36.0,39.0,10.0
2021-06-24,708.0,1406937.0,23.0,17.0,27.0,6.0
2021-06-25,681.0,1407618.0,56.0,71.0,36.0,7.0
2021-06-26,636.0,1408254.0,21.0,23.0,15.0,6.0
2021-06-27,536.0,1408790.0,14.0,24.0,22.0,7.0
2021-06-28,429.0,1409219.0,22.0,17.0,53.0,13.0
2021-06-29,595.0,1409814.0,24.0,28.0,39.0,9.0
2021-06-30,574.0,1410388.0,24.0,25.0,18.0,6.0
2021-07-01,435.0,1410823.0,39.0,37.0,22.0,10.0
2021-07-02,429.0,1411252.0,37.0,37.0,22.0,6.0
2021-07-03,472.0,1411724.0,53.0,40.0,13.0,2.0
2021-07-04,390.0,1412114.0,28.0,30.0,11.0,2.0
2021-07-05,361.0,1412475.0,74.0,69.0,22.0,6.0
2021-07-06,494.0,1412969.0,47.0,53.0,30.0,5.0
2021-07-07,533.0,1413502.0,31.0,25.0,29.0,9.0
2021-07-08,566.0,1414068.0,22.0,19.0,35.0,8.0
2021-07-09,446.0,1414514.0,16.0,19.0,49.0,10.0
2021-07-10,416.0,1414930.0,20.0,16.0,18.0,6.0
2021-07-11,338.0,1415268.0,12.0,8.0,10.0,2.0
2021-07-12,296.0,1415564.0,24.0,15.0,37.0,5.0
2021-07-13,330.0,1415894.0,13.0,24.0,32.0,5.0
2021-07-14,399.0,1416293.0,16.0,17.0,21.0,5.0
2021-07-15,453.0,1416746.0,22.0,15.0,23.0,6.0
2021-07-16,450.0,1417196.0,23.0,18.0,39.0,12.0
2021-07-17,446.0,1417642.0,20.0,16.0,31.0,3.0
2021-07-18,378.0,1418020.0,26.0,18.0,21.0,4.0
2021-07-19,365.0,1418385.0,17.0,17.0,20.0,3.0
2021-07-20,484.0,1418869.0,28.0,14.0,26.0,3.0
2021-07-21,581.0,1419450.0,19.0,15.0,30.0,12.0
2021-07-22,647.0,1420097.0,16.0,17.0,18.0,4.0
2021-07-23,633.0,1420730.0,27.0,8.0,21.0,3.0
2021-07-24,610.0,1421340.0,14.0,12.0,14.0,1.0
2021-07-25,474.0,1421814.0,15.0,13.0,8.0,1.0
2021-07-26,521.0,1422335.0,14.0,15.0,23.0,2.0
2021-07-27,753.0,1423088.0,23.0,27.0,33.0,10.0
2021-07-28,877.0,1423965.0,45.0,24.0,26.0,6.0
2021-07-29,930.0,1424895.0,36.0,27.0,28.0,13.0
2021-07-30,901.0,1425796.0,34.0,29.0,28.0,8.0
2021-07-31,903.0,1426699.0,30.0,18.0,22.0,3.0
2021-08-01,739.0,1427438.0,21.0,15.0,14.0,1.0
2021-08-02,657.0,1428095.0,23.0,16.0,10.0,8.0
2021-08-03,938.0,1429033.0,34.0,27.0,18.0,6.0
2021-08-04,1320.0,1430353.0,25.0,33.0,16.0,7.0
2021-08-05,1581.0,1431934.0,33.0,24.0,123.0,12.0
2021-08-06,1675.0,1433609.0,32.0,21.0,72.0,11.0
2021-08-07,1534.0,1435143.0,21.0,21.0,20.0,4.0
2021-08-08,1285.0,1436428.0,27.0,14.0,29.0,3.0
2021-08-09,1294.0,1437722.0,26.0,34.0,25.0,6.0
2021-08-10,1811.0,1439533.0,37.0,30.0,57.0,8.0
2021-08-11,2145.0,1441678.0,37.0,38.0,45.0,7.0
2021-08-12,2392.0,1444070.0,48.0,49.0,41.0,11.0
2021-08-13,2231.0,1446301.0,43.0,41.0,37.0,9.0
2021-08-14,1920.0,1448221.0,33.0,13.0,26.0,3.0
2021-08-15,1878.0,1450099.0,27.0,22.0,43.0,5.0
2021-08-16,1746.0,1451845.0,24.0,19.0,19.0,3.0
2021-08-17,2417.0,1454262.0,23.0,16.0,16.0,1.0
2021-08-18,2913.0,1457175.0,36.0,29.0,25.0,5.0
2021-08-19,2845.0,1460020.0,27.0,17.0,20.0,9.0
2021-08-20,3191.0,1463211.0,29.0,35.0,32.0,6.0
2021-08-21,2711.0,1465922.0,23.0,21.0,11.0,4.0
2021-08-22,2061.0,1467983.0,23.0,15.0,12.0,1.0
2021-08-23,2334.0,1470317.0,36.0,27.0,24.0,10.0
2021-08-24,3053.0,1473370.0,42.0,33.0,35.0,3.0
2021-08-25,3325.0,1476695.0,38.0,27.0,33.0,6.0
2021-08-26,3800.0,1480495.0,25.0,24.0,25.0,11.0
2021-08-27,3743.0,1484238.0,26.0,17.0,23.0,4.0
2021-08-28,3216.0,1487454.0,29.0,21.0,23.0,3.0
2021-08-29,2756.0,1490210.0,27.0,19.0,6.0,6.0
2021-08-30,2840.0,1493050.0,34.0,41.0,16.0,4.0
2021-08-31,3867.0,1496917.0,49.0,54.0,21.0,2.0
2021-09-01,4073.0,1500990.0,47.0,30.0,40.0,2.0
2021-09-02,4027.0,1505017.0,41.0,28.0,37.0,5.0
