date,MScoreVac,CScoreVac,PredMScoreVac,PredCScoreVac
2021-03-28,161.17459756313065,41.05179518249524,161.17459756313065,41.05179518249524
2021-03-29,162.38071367774643,41.40009078363264,162.48956295747485,41.364159661340516
2021-03-30,163.5573620263425,41.73274171980445,163.78112968668452,41.671176940945344
2021-03-31,164.71347832128058,42.05051702878463,165.048869179736,41.97263900078313
2021-04-01,165.85333887489185,42.35306846511491,166.29220602205322,42.26830331216271
2021-04-02,166.97757905022195,42.63908459349197,167.51052325992268,42.55792361913432
2021-04-03,168.0851975216946,42.90709761978917,168.70303300322465,42.84121069050538
2021-04-04,169.17408416350986,43.15668799934594,169.86870845658046,43.11781197041872
2021-04-05,170.2445267007223,43.38774462051525,171.00628372821043,43.387311532519455
2021-04-06,171.30116278374425,43.60117028117381,172.11425068562644,43.649229335307325
2021-04-07,172.3499034708101,43.797865809996885,173.19086519248648,43.9030227006564
2021-04-08,173.393399194948,43.978263661547885,174.23377435345404,44.14799912973364
2021-04-09,174.43127790070733,44.14482203652327,175.24070269840905,44.38346021672949
2021-04-10,175.45886625055135,44.30113438816012,176.20911443708985,44.60861922133194
2021-04-11,176.46978795570905,44.449526554249815,177.1355034617702,44.82243937594267
2021-04-12,177.45886008806298,44.59160197468529,178.01539475112116,45.02363421121778
2021-04-13,178.4248744946284,44.72725141636523,178.84334314149604,45.21066727100973
2021-04-14,179.36384779743895,44.85498352834212,179.61293381065698,45.38175223033158
2021-04-15,180.2636725945605,44.97208731261976,180.31678193920703,45.53485281734263
2021-04-16,181.10501208394447,45.07457737911467,180.94653530585336,45.66768338404541
2021-04-17,181.862408671758,45.15797959650667,181.49286916268576,45.77770777151823
2021-04-18,182.51057921853732,45.21801610063494,181.94549040472788,45.862140255392255
2021-04-19,183.02648720441965,45.25085136971156,182.2931374546063,45.91794546109431
2021-04-20,183.3920857781228,45.25513440386819,182.5231695797493,45.94171334043901
2021-04-21,183.59309225332223,45.228999231584886,182.617691454557,45.92865868594302
2021-04-22,183.61827754044197,45.17066852118794,182.56631161977688,45.87663240070682
2021-04-23,183.46103072565012,45.07991227096913,182.36352942898728,45.784850223560866
2021-04-24,183.11741667742845,44.95565380956218,182.00655014372384,45.65316652009896
2021-04-25,182.58399110945527,44.79663718355387,181.49528445294305,45.48207405197102
2021-04-26,181.86656506612127,44.60348753368704,180.83234866614936,45.272704084889085
2021-04-27,180.98128687354807,44.37873848778823,180.02306532086382,45.02682657977172
2021-04-28,179.9462820121828,44.12448940479237,179.0754612943946,44.74684960217748
2021-04-29,178.7771106586831,43.841012290682784,178.0002685858023,44.435819576855074
2021-04-30,177.48882861930534,43.52870040446773,176.81093059156163,44.0974230941425
2021-05-01,176.0933502508677,43.18871591072778,175.523589140326,43.735983172400495
2021-05-02,174.59989195600684,42.82239939109407,174.15709579020825,43.35646246915285
2021-05-03,173.01929084055874,42.43239726006797,172.7287234144828,42.96328622222643
2021-05-04,171.36596241411496,42.02417182659485,171.2417147449291,42.55700263608548
2021-05-05,169.65164969412874,41.60458930934964,169.70236592349886,42.139049594499
2021-05-06,167.88784445862387,41.18304313805734,168.11692958374147,41.710873464221045
2021-05-07,166.08771559129733,40.766595101492825,166.49110698072306,41.27378825284879
2021-05-08,164.26113674590516,40.35871381606357,164.83004815537316,40.82897565211784
2021-05-09,162.41827680403856,39.96063978040286,163.13835158998916,40.377484945163744
2021-05-10,160.5714664035649,39.5728244932831,161.4200625900237,39.92023257374063
2021-05-11,158.73274427230712,39.1947047923486,159.67867851211997,39.4580035339923
2021-05-12,156.91080414234858,38.82731665292685,157.91714211669415,38.991449610518785
2021-05-13,155.10864626703977,38.471562007025966,156.13784443290584,38.52109012351
2021-05-14,153.32421665618767,38.12815392236137,154.34262888275157,38.04731304096247
2021-05-15,151.54878024659763,37.79617848025145,152.53278382345286,37.57037299764858
2021-05-16,149.77335352467105,37.47196066073447,150.70941074435427,37.09048527949706
2021-05-17,147.99375844951942,37.15196653954759,148.87419280171088,36.60802458955192
2021-05-18,146.21388973463002,36.83532337876926,147.02815893273848,36.12320610452472
2021-05-19,144.4376076208565,36.52113801789243,145.17223379489624,35.636221214806305
2021-05-20,142.66407099904916,36.207921931959845,143.3072809442398,35.14724844051144
2021-05-21,140.89124836816296,35.894059727161164,141.43410148643252,34.656453077874076
2021-05-22,139.1145291227068,35.577644714557344,139.55343630713176,34.16398778389049
2021-05-23,137.33184862207935,35.25813264361194,137.66596467954136,33.66999221085646
2021-05-24,135.5482184096141,34.93673696476459,135.772303930978,33.174592920840546
2021-05-25,133.77609007878232,34.61602019000941,133.87301135966047,32.67790388400485
2021-05-26,132.02654837757865,34.297755901922734,131.9685816157857,32.180025797094174
2021-05-27,130.30583830844236,33.981904702231205,130.05944584432672,31.681045857229936
2021-05-28,128.61726129093626,33.66804177168963,128.14598223475943,31.18104052171676
2021-05-29,126.95980703509184,33.35429836695299,126.22849362558917,30.68006964967447
2021-05-30,125.3288413705184,33.03899670138922,124.30723696871804,30.178184209887185
