date,MScoreInter,CScoreInter,PredMScoreInter,PredCScoreInter
2021-03-28,79.24043910095563,61.24648841231993,79.24043910095563,61.24648841231993
2021-03-29,79.97354818632579,61.7818873395395,79.78454513133072,61.659832934281226
2021-03-30,80.6868112840165,62.319172583520434,80.34697282732931,62.088393810349146
2021-03-31,81.37247022839753,62.85643275219178,80.92445216673777,62.52988118044889
2021-04-01,82.02455554544757,63.39244612762931,81.51308143585291,62.98154470219886
2021-04-02,82.63727897652313,63.9252813009234,82.10823210831627,63.44009961552321
2021-04-03,83.20563053859618,64.44987616205667,82.70453830864682,63.90170471990251
2021-04-04,83.72667384921084,64.95988668818542,83.295900230426,64.36196346148236
2021-04-05,84.1983188804252,65.4507079380367,83.87556921771966,64.81597182358345
2021-04-06,84.61835423716165,65.91748390864939,84.43573009202974,65.25800133982503
2021-04-07,84.98361682552533,66.35416667742454,84.9679748864881,65.6818038108048
2021-04-08,85.29028759555402,66.75456161968091,85.46363159868152,66.08083121341383
2021-04-09,85.53531838030905,67.11318161807543,85.91376413225447,66.44823564962509
2021-04-10,85.71921126528824,67.42621858013699,86.30923788533221,66.77692849042587
2021-04-11,85.84472208595918,67.69014356770592,86.64123194986456,67.05991778511998
2021-04-12,85.91617918039913,67.90291038196611,86.90165974479311,67.29049219365102
2021-04-13,85.93867230548734,68.06326572936679,87.08411997667885,67.46316309447649
2021-04-14,85.91638984837215,68.17131149380917,87.18400465048538,67.57377308008132
2021-04-15,85.8527719220761,68.22742442223908,87.19850033093692,67.61949714847343
2021-04-16,85.7504979213654,68.23069431039661,87.12658692346345,67.59884153402429
2021-04-17,85.6105493445138,68.17983469587966,86.96902499329005,67.51163753524274
2021-04-18,85.43145044498564,68.07338197821262,86.72850770547298,67.35931961577042
2021-04-19,85.20989476223363,67.91014278775792,86.41021962703135,67.14541445412783
2021-04-20,84.94301177287,67.68955411733397,86.01991326893862,66.87397157175218
2021-04-21,84.63032065777121,67.41218667568867,85.56350489334453,66.54926448557696
2021-04-22,84.27272784300959,67.08036691916575,85.04707388302552,66.17579026137264
2021-04-23,83.87138102393477,66.69701985517094,84.47686373386583,65.75827021312485
2021-04-24,83.42551123070508,66.2661795731417,83.85928107015212,65.30164920961707
2021-04-25,82.93331347274182,65.79182597123204,83.20077307933299,64.81098307248568
2021-04-26,82.3949237303793,65.27810516605261,82.50667227226496,64.29042968901952
2021-04-27,81.8098062085769,64.72875441612997,81.7818165228231,63.74382707758247
2021-04-28,81.17730447390517,64.14579896224892,81.0308018114822,63.174835541867665
2021-04-29,80.49744127264047,63.53098603582647,80.25792154237209,62.586875968838356
2021-04-30,79.7707736017595,62.88565635952742,79.46717332483856,61.98313498803342
2021-05-01,78.99920346455521,62.21115780748785,78.66225010398311,61.36655823019598
2021-05-02,78.18520626040399,61.50767420806388,77.84654327522274,60.7398526821898
2021-05-03,77.33487635391535,60.77604548112792,77.02314633492013,60.105489477926355
2021-05-04,76.45727693894369,60.01891358633992,76.19488656952186,59.46572484415563
2021-05-05,75.56319547759844,59.24083883482032,75.3645967276516,58.82279512613818
2021-05-06,74.66355387154971,58.44757513293095,74.53489338259789,58.17879108914815
2021-05-07,73.76912791264016,57.6447185549688,73.70841197222208,57.535809452998976
2021-05-08,72.89025322548517,56.8379524837104,72.88786595450088,56.895991597673415
2021-05-09,72.03733092803695,56.03239934072437,72.07604650297577,56.26152332483093
2021-05-10,71.21848850145969,55.23361956611909,71.27582403338882,55.63463605242494
2021-05-11,70.43778329372716,54.44658372885873,70.49014516670644,55.01760443870452
2021-05-12,69.69862716840727,53.67458534718629,69.72203483961243,54.41274803044505
2021-05-13,69.0047117859476,52.920480812936674,68.97459766740712,53.82243234040739
2021-05-14,68.35855065060487,52.1871450921808,68.25101534653936,53.24906679960669
2021-05-15,67.761853479644,51.4786243621875,67.55454578930154,52.69510408832291
2021-05-16,67.21714898603882,50.799691822655646,66.88854844266217,52.163057343597856
2021-05-17,66.72804190852554,50.15801765125151,66.26152961907812,51.6588159172689
2021-05-18,66.29902321850822,49.56534616108179,65.67775783421152,51.18568609601808
2021-05-19,65.93349498052791,49.03299996923968,65.1381565077888,50.7448816363432
2021-05-20,65.63290274011516,48.56987014920833,64.64632023319213,50.33939787220521
2021-05-21,65.39881243103639,48.18736707009782,64.20851503462329,49.974011919694064
2021-05-22,65.22877964967688,47.89345100263915,63.83367877740563,49.65528302610777
2021-05-23,65.11527150215267,47.69111572113488,63.53342002245418,49.391551607293835
2021-05-24,65.04891898390707,47.57975986010042,63.32201923261325,49.19294028241919
2021-05-25,65.02133412736833,47.5583582602958,63.21642831111239,49.07135341484668
2021-05-26,65.02628418267369,47.62600952211126,63.23627015958426,49.04047683276032
2021-05-27,65.06271518115891,47.78215157259165,63.403839406816786,49.115778450980315
2021-05-28,65.1315617530296,48.025911465132765,63.74410208853215,49.314507784372076
2021-05-29,65.23462453861201,48.35539222474284,64.2854630896759,49.65617672057933
2021-05-30,65.37385752130811,48.76880758146032,65.08184431089505,50.17603519923259
