date,MScoreInter,CScoreInter,PredMScoreInter,PredCScoreInter
2022-01-01,78.13696796032525,55.59256850510492,78.13696796032525,55.59256850510492
2022-01-02,79.64529072872452,55.84889713742524,79.52431152213721,56.03238378493596
2022-01-03,81.35515639947127,56.168134579398014,81.07232053635899,56.41965635581487
2022-01-04,83.27495528037736,56.55711521323177,82.87425523108729,56.72477955705954
2022-01-05,85.40918807988697,57.02428435757261,85.04645956026572,56.932013163526186
2022-01-06,87.75620709246954,57.5782593542787,87.64675762542917,57.12116983177696
2022-01-07,90.3079372201413,58.22375418805672,90.55713712164987,57.488508482982866
2022-01-08,93.05160165734172,58.96168333908272,93.59503464265363,58.14494535445213
2022-01-09,95.97036861184084,59.7891873196901,96.67797948858686,59.04540939616031
2022-01-10,99.04340082906606,60.70066184380252,99.7948770696159,60.093965910052745
2022-01-11,102.24680136847564,61.691773173802375,102.95182985339223,61.228954045866764
2022-01-12,105.55409219669308,62.75746219028525,106.15461369756815,62.41353506175823
2022-01-13,108.9387593156589,63.891823922845845,109.40908863481009,63.62714804480638
2022-01-14,112.37841977887228,65.0894245573864,112.71999504574922,64.85919922290314
2022-01-15,115.8558737142912,66.34606312623418,116.08880441603533,66.10451757076804
2022-01-16,119.3568843429682,67.65532026948102,119.5126499014562,67.36164219412362
2022-01-17,122.86661215852132,69.00777207370584,122.98469868192939,68.63262982945788
2022-01-18,126.36857446762748,70.39246657998876,126.48834843623648,69.92307941164651
2022-01-19,129.84335761804573,71.7964601358384,129.9748645955708,71.24611637498887
2022-01-20,133.2678798823158,73.20475418708611,133.39119132866642,72.60812334352184
2022-01-21,136.6178220990139,74.60113010260079,136.68604611666686,74.00588110413163
2022-01-22,139.86873683471072,75.97098924774298,139.80996326149386,75.42658579069695
2022-01-23,142.99891526727038,77.30375387721676,142.7996179888733,76.88322327611567
2022-01-24,145.99195655879066,78.59718180187997,145.6200370465385,78.33451017941013
2022-01-25,148.84144911699013,79.85859346665359,148.2078961378352,79.72914423547476
2022-01-26,151.5492067520995,81.09909976215852,150.63614437200326,81.08882460071715
2022-01-27,154.12026921707889,82.3273507055253,153.06952506701603,82.4853062428137
2022-01-28,156.56139940480966,83.54778952444303,155.4639980755685,83.88637992236093
2022-01-29,158.87769963371443,84.76230452620416,157.8027391544887,85.27769218059335
2022-01-30,161.07161438150683,85.97352471414945,160.0841749303749,86.65486301056691
2022-01-31,163.1456894260671,87.1843418165962,162.30307715823741,88.01405579576648
2022-02-01,165.10351278790722,88.39864207730443,164.45360305519085,89.35088341193082
2022-02-02,166.95542816345892,89.62273134371367,166.52905164596086,90.661205868912
2022-02-03,168.7144658546914,90.86271246730632,168.52203439203075,91.94206847265545
2022-02-04,170.3930971293221,92.12548801832986,170.42449868159946,93.19171665520989
2022-02-05,172.00041448556533,93.41498789105412,172.22771078520017,94.40958518374391
2022-02-06,173.53852802789584,94.72920853177708,173.92226392570353,95.59630341028658
2022-02-07,175.0031103179972,96.06310438052508,175.49879068245963,96.75311427949744
2022-02-08,176.3842742935699,97.41007146992256,176.94712929997235,97.88005268961247
2022-02-09,177.66478295783375,98.75880139087089,178.25180359350904,98.97900449621616
2022-02-10,178.81948263262885,100.09424278556702,179.39796742499405,100.05220779925077
2022-02-11,179.82099491889255,101.39818116666244,180.37186291830983,101.1020083646406
2022-02-12,180.6458382254222,102.65170901373426,181.16082630076514,102.13086427727808
2022-02-13,181.2793518602742,103.8413162742923,181.75328706056177,103.14134493603416
2022-02-14,181.7185577581547,104.96463104484836,182.13728009473775,104.13903672278171
2022-02-15,181.96188277995952,106.01950385812845,182.2918770074089,105.15627106921924
2022-02-16,182.00601146311828,106.99959801455633,182.22648610828733,106.17646193268322
2022-02-17,181.84515226968688,107.89493928593733,181.9507603448355,107.17130153713299
2022-02-18,181.47357585292505,108.69455506808023,181.46518467277875,108.1166675048681
2022-02-19,180.8857533014013,109.38762220065452,180.76106977195442,108.99264576145028
2022-02-20,180.077458892967,109.96351405067776,179.82055499984986,109.78351667806382
2022-02-21,179.04552407066762,110.41073548895812,178.61660875615462,110.47775598137927
2022-02-22,177.78723947740332,110.71879623791736,177.11322351641635,111.06783836609092
2022-02-23,176.30605191259656,110.88106887544043,175.42526329853362,111.42615594462613
2022-02-24,174.6131143948785,110.89555048425272,173.71168394323576,111.50151870021153
2022-02-25,172.7260502825054,110.76327340813118,172.0072208400729,111.36883084680001
2022-02-26,170.66817014348658,110.48977164362768,170.3225914790994,111.09518693867676
2022-02-27,168.46879091648657,110.08619017705163,168.64445612159426,110.73986818362854
2022-02-28,166.1674995101157,109.56986536860305,166.95187572852166,110.34516432211736
2022-03-01,163.8136173773405,108.97052428170085,165.24195061807777,109.93189544292188
